fleet_size,dispatch_mode,deadlock_mode,seed,n_completed,throughput_per_h,mean_wait_min,p95_wait_min,mean_cycle_min,mean_total_min,avg_n_blocked,frac_time_blocked,frac_time_travel,frac_time_idle,frac_time_charging,n_deadlock_events,deadlock_events_per_h,reroutes,manual_interventions
3,centralized,avoidance,0,521,104.2,2.1374151722475836,4.746420393154182,1.4412528485316298,3.5786680207792134,0.83,0.2358792653611085,0.5844962275489111,0.14223384140259232,0.03739066568738813,71,14.2,129,0
3,centralized,avoidance,1,498,99.6,1.8726964960850405,4.41143536594632,1.4958762855814258,3.368572781666466,0.8733333333333333,0.25701153449326286,0.5808607324244857,0.12470458419157993,0.03742314889067159,71,14.2,137,0
3,centralized,avoidance,2,509,101.8,5.470920848804533,39.90737021387105,1.4704699653322182,6.941390814136751,0.79,0.2287024424045935,0.6033383091328537,0.09196521942197618,0.07599402904057666,80,16.0,137,0
3,centralized,avoidance,3,482,96.4,1.211020351350277,3.323457986245189,1.470331288806206,2.6813516401564828,0.9133333333333333,0.2447863593925037,0.5967764346255372,0.11953210663500834,0.03890509934695068,66,13.2,126,0
3,centralized,avoidance,4,496,99.2,2.1369492824105,5.625542858685461,1.5018062638743632,3.638755546284863,0.89,0.2655618610523584,0.6002773925104001,0.09532579498093022,0.0388349514563112,81,16.2,130,0
3,centralized,avoidance,5,487,97.4,1.5078775195800014,4.317265691762481,1.4634579205736695,2.9713354401536707,0.83,0.24700244875975622,0.6095264858788796,0.10412864580256076,0.0393424195588034,68,13.6,119,0
3,centralized,avoidance,6,500,100.0,3.4530982686319502,6.6168316097218,1.5096454551083693,4.96274372374032,0.9866666666666667,0.25671924169377514,0.6035478260869567,0.10077641048013702,0.038956521739131104,83,16.6,157,0
3,centralized,avoidance,7,526,105.2,0.4869249465038486,1.8215512346809248,1.2044882481222146,1.691413194626063,0.6933333333333334,0.21571169709749227,0.5668123427360633,0.18039477886595376,0.037081181300490734,56,11.2,104,0
3,decentralized,avoidance,0,483,96.6,5.111504199665703,16.292283222049388,1.465085930688131,6.576590130353834,0.9666666666666667,0.2466544742175326,0.6283833211411797,0.0839965864993708,0.04096561814191694,63,12.6,118,0
3,decentralized,avoidance,1,497,99.4,4.211253006386287,10.311627874742527,1.4247588617381477,5.636011868124435,0.81,0.2327247478008988,0.5806055646481185,0.14848092595796508,0.03818876159301759,61,12.2,113,0
