fleet_size,dispatch_mode,deadlock_mode,seed,n_completed,throughput_per_h,mean_wait_min,p95_wait_min,mean_cycle_min,mean_total_min,avg_n_blocked,frac_time_blocked,frac_time_travel,frac_time_idle,frac_time_charging,n_deadlock_events,deadlock_events_per_h,reroutes,manual_interventions
10,centralized,avoidance,4,293,58.6,104.51425427536502,173.630020299101,10.240614334470997,114.75486860983601,9.006666666666666,0.8488140844013476,0.12805313826880324,0.02313277732984922,0.0,249,49.8,390,39
10,centralized,avoidance,5,192,38.4,129.1012887474518,224.25476327627985,16.041666666666675,145.14295541411846,9.426666666666666,0.893924539750213,0.0889725123813233,0.017102947868463614,0.0,187,37.4,267,51
10,centralized,avoidance,6,180,36.0,124.57830450292957,218.19622261229966,17.623701395126684,142.20200589805626,9.416666666666666,0.9019996237671681,0.08302162603723287,0.014978750195599013,0.0,174,34.8,247,51
10,centralized,avoidance,7,180,36.0,110.92748081153154,230.10473824160596,16.1920634920635,127.11954430359503,9.41,0.8994499203535489,0.09024437590319871,0.010305703743252473,0.0,188,37.6,310,50
10,centralized,naive,0,193,38.6,120.87766013498975,201.9107130368446,15.788630367709967,136.66629050269972,9.4,0.8932643246924363,0.08494258311470479,0.021793092192858778,0.0,217,43.4,258,50
10,centralized,naive,1,184,36.8,121.05139618826406,219.72486651170917,16.06172360248448,137.11311979074856,9.4,0.9064884504124158,0.08280419852274211,0.010707351064842207,0.0,239,47.8,273,48
10,centralized,naive,2,213,42.6,131.90312845703357,238.96192406122879,14.777786029705979,146.68091448673954,9.276666666666667,0.8899216594585472,0.09256283345117974,0.017515507090273025,0.0,217,43.4,260,51
10,centralized,naive,3,176,35.2,120.59606981896556,208.6895581094256,15.756899350649354,136.3529691696149,9.456666666666667,0.8846403816040531,0.08187184532466428,0.03348777307128245,0.0,211,42.2,252,50
10,centralized,naive,4,207,41.4,87.22710616397244,191.20511557068502,14.462732919254663,101.6898390832271,9.316666666666666,0.8851105919655378,0.09831286041974835,0.01657654761471391,0.0,243,48.6,302,48
10,centralized,naive,5,203,40.6,103.77470400855638,207.64059117973073,14.624560168895151,118.39926417745154,9.36,0.8919888716563061,0.08717411296704237,0.020837015376651565,0.0,212,42.4,253,48
10,centralized,naive,6,207,41.4,136.03680254646864,216.16021102694717,14.54005352725064,150.57685607371928,9.396666666666667,0.8929846190745943,0.0935924818453654,0.013422899080040395,0.0,228,45.6,278,44
10,centralized,naive,7,192,38.4,103.23643474559894,206.0597034255017,15.478050595238106,118.71448534083704,9.456666666666667,0.8891963629946987,0.10066105769230793,0.01014257931299339,0.0,229,45.8,309,44
15,centralized,avoidance,0,94,18.8,124.8010743196865,251.31862777519578,45.912948412617396,170.7140227323039,14.713333333333333,0.9560148256907985,0.03158798283261805,0.01239719147658357,0.0,148,29.6,210,70
15,centralized,avoidance,1,113,22.6,158.95627102041047,283.5823065978133,40.70827123962075,199.66454226003123,14.6,0.9587796097018537,0.03541408883389516,0.005806301464251014,0.0,191,38.2,242,68
15,centralized,avoidance,2,95,19.0,141.37107352229455,260.9414490640444,49.31107876590521,190.68215228819977,14.71,0.950174232747339,0.03147445255474457,0.018351314697916413,0.0,131,26.2,191,82
15,centralized,avoidance,3,81,16.2,119.51838449308845,225.6103906571681,46.95438544904079,166.47276994212925,14.72,0.9481389848817748,0.03493232775000733,0.016928687368218023,0.0,153,30.6,238,70
15,centralized,avoidance,4,128,25.6,119.40757599634001,259.3798987791124,36.101395964542434,155.50897196088246,14.623333333333333,0.9511584864641123,0.03719269963728482,0.011648813898603023,0.0,162,32.4,222,70
15,centralized,avoidance,5,95,19.0,112.63902217360949,243.10466737825868,45.89983787226789,158.53886004587739,14.713333333333333,0.951963529475631,0.03367091554624294,0.014365554978126093,0.0,161,32.2,222,72
15,centralized,avoidance,6,115,23.0,140.3505989470717,272.2186300767327,43.00237214597557,183.35297109304727,14.64,0.9452093321086132,0.03460445898252563,0.020186208908861025,0.0,160,32.0,210,63
15,centralized,avoidance,7,88,17.6,135.7228211896269,261.6606149004157,50.08617906227579,185.8090002519027,14.693333333333333,0.9514931337960447,0.030793050060209902,0.01771381614374528,0.0,157,31.4,216,73
15,centralized,naive,0,107,21.4,123.48708204053918,244.08866795427178,41.042844323381466,164.52992636392065,14.673333333333334,0.9444706033701302,0.03532370482144142,0.02020569180842836,0.0,172,34.4,213,80
15,centralized,naive,1,66,13.2,126.69974393433434,261.4810136430548,63.044925827777774,189.7446697621121,14.793333333333333,0.9718125362676273,0.02205581232083311,0.006131651411539519,0.0,131,26.2,151,67
15,centralized,naive,2,66,13.2,120.78524979983811,229.2664969699868,55.51984706789176,176.30509686772987,14.793333333333333,0.9570579948787219,0.024797563545560855,0.018144441575717343,0.0,129,25.8,163,73
15,centralized,naive,3,72,14.4,118.36959549618365,237.80449640051148,53.06175268229584,171.43134817847948,14.763333333333334,0.9546943645609536,0.028123498842744274,0.017182136596302102,0.0,154,30.8,192,78
15,centralized,naive,4,80,16.0,116.15645308565925,245.8888946546615,50.480410948426986,166.63686403408624,14.773333333333333,0.9610152172149011,0.02720788940741396,0.011776893377684994,0.0,159,31.8,185,78
15,centralized,naive,5,94,18.8,120.10757167384469,247.05524170177213,45.725816467065215,165.8333881409099,14.71,0.9556889113826692,0.03083980036350002,0.013471288253830774,0.0,173,34.6,199,77
15,centralized,naive,6,93,18.6,125.98604994272223,243.72625471615137,43.43294154712699,169.41899148984922,14.756666666666666,0.9491544727878652,0.03248924988055425,0.018356277331580316,0.0,171,34.2,210,74
15,centralized,naive,7,97,19.4,126.64627129951114,256.01221973263256,42.51835157308325,169.1646228725944,14.75,0.9558396904641424,0.02995042286380872,0.014209886672048824,0.0,177,35.4,198,70
20,centralized,avoidance,0,69,13.8,95.5151842212146,235.50181407709132,77.78464277013984,173.29982699135442,19.833333333333332,0.9690176420578848,0.016918063917481296,0.014064294024633944,0.0,142,28.4,181,96
20,centralized,avoidance,1,64,12.8,97.6257645075638,257.0559180328088,86.26230603291602,183.88807054047982,19.803333333333335,0.9628554073664982,0.01859935063538824,0.018545241998113516,0.0,146,29.2,201,92
20,centralized,avoidance,2,61,12.2,110.20118707429124,279.36708622978597,94.28835758888432,204.48954466317556,19.843333333333334,0.965305880612479,0.017544423379711474,0.017149696007809554,0.0,160,32.0,204,89
20,centralized,avoidance,3,72,14.4,122.93985216304385,268.53236049120557,79.50107930234452,202.44093146538836,19.836666666666666,0.9617550177532762,0.019180068547324042,0.019064913699399753,0.0,157,31.4,205,107
20,centralized,avoidance,4,50,10.0,88.4244871050303,215.74881813071548,86.37124822407986,174.79573532911016,19.866666666666667,0.973237382501216,0.0157304395403976,0.011032177958386303,0.0,138,27.6,179,95
20,centralized,avoidance,5,60,12.0,87.1824597648305,219.18609724836264,83.36956136830302,170.55202113313354,19.816666666666666,0.9579182394204996,0.01675381143706315,0.02532794914243738,0.0,139,27.8,191,98
20,centralized,avoidance,6,64,12.8,110.62039259334483,244.43969168891562,86.56115511151785,197.18154770486268,19.823333333333334,0.9602357420348424,0.01724195026105771,0.02252230770409989,0.0,159,31.8,199,96
20,centralized,avoidance,7,65,13.0,103.52204309693884,256.00414837147594,90.98652780080457,194.5085708977434,19.813333333333333,0.9618875984242412,0.016879187378430967,0.02123321419732793,0.0,137,27.4,165,84
20,centralized,naive,0,51,10.2,107.04203455457204,270.46704075749255,98.30830877889987,205.3503433334719,19.87,0.9698021317670644,0.01641326883206636,0.013784599400869166,0.0,139,27.8,178,93
20,centralized,naive,1,48,9.6,79.63344726384216,248.37933699713525,105.0886076016711,184.72205486551326,19.87,0.9659953789767174,0.015919393301394302,0.018085227721888305,0.0,130,26.0,173,84
20,centralized,naive,2,71,14.2,117.72609124623315,270.00161705923995,75.04967139915439,192.77576264538754,19.81,0.9625005761453204,0.02007140369209337,0.017428020162586242,0.0,171,34.2,211,94
20,centralized,naive,3,59,11.8,91.61898691061377,219.07031501788362,87.94898843383419,179.56797534444794,19.833333333333332,0.9642321356490086,0.016014274070973857,0.0197535902800175,0.0,134,26.8,161,98
20,centralized,naive,4,61,12.2,111.30493602948799,224.6384178125905,86.18463877303418,197.48957480252216,19.85333333333333,0.974482117167372,0.015483228307239227,0.010034654525388837,0.0,119,23.8,155,87
20,centralized,naive,5,64,12.8,107.25103286508542,240.25734074531115,85.6803810350956,192.931413900181,19.80666666666667,0.9581539487641968,0.016604662833702457,0.025241388402100867,0.0,150,30.0,174,94
20,centralized,naive,6,50,10.0,77.1215567885204,204.94300108306751,94.76526200337734,171.88681879189772,19.88,0.9632996479191939,0.014258125034486565,0.022442227046319575,0.0,121,24.2,149,91
20,centralized,naive,7,61,12.2,104.30854579379633,252.57055937045862,83.8103367491183,188.11888254291463,19.836666666666666,0.9626195096204934,0.0163374392464949,0.02104305113301169,0.0,158,31.6,181,94
25,centralized,avoidance,0,46,9.2,81.54361576453668,246.64271502926067,136.8625110474481,218.40612681198476,24.856666666666666,0.9713448719237772,0.009638718356990199,0.01901640971923277,0.0,114,22.8,144,95
25,centralized,avoidance,1,50,10.0,62.58220258453328,179.67392385457498,110.19307074134633,172.77527332587962,24.86,0.9718092738557473,0.010462341871876824,0.017728384272375823,0.0,120,24.0,155,110
25,centralized,avoidance,2,60,12.0,101.7304879722211,279.874684283369,111.31084164939486,213.04132962161597,24.833333333333332,0.9643214320833148,0.012887356879319606,0.022791211037365627,0.0,144,28.8,187,121
25,centralized,avoidance,3,62,12.4,95.4874534097938,248.73814666795116,102.13861003753892,197.62606344733274,24.816666666666666,0.9712434284915828,0.011736826231203411,0.017019745277213724,0.0,131,26.2,167,110
25,centralized,avoidance,4,50,10.0,78.74842832044936,199.06616357503395,104.80582398259408,183.55425230304343,24.873333333333335,0.9705251301970245,0.010241404535479148,0.019233465267496357,0.0,115,23.0,154,105
25,centralized,avoidance,5,46,9.2,61.22258947415349,233.6288890450789,122.03356263347986,183.25615210763334,24.88,0.9632266085191815,0.009789235324856293,0.026984156155962013,0.0,117,23.4,160,107
25,centralized,avoidance,6,47,9.4,66.21327802370736,233.35490040764756,119.60929676202521,185.82257478573257,24.863333333333333,0.97049847480291,0.009789000345901069,0.01971252485118899,0.0,111,22.2,143,100
25,centralized,avoidance,7,53,10.6,80.52394092751608,246.6010842631362,103.4722202973561,183.9961612248722,24.85333333333333,0.9602713098313678,0.011732828242969512,0.02799586192566272,0.0,152,30.4,186,120
25,centralized,naive,0,49,9.8,87.7727596597894,257.82713732658874,126.24336831844009,214.0161279782295,24.873333333333335,0.9710547181699513,0.009528611917720087,0.019416669912328547,0.0,129,25.8,148,109
25,centralized,naive,1,62,12.4,74.45921419581146,232.08789320261818,110.26913068925619,184.72834488506763,24.85333333333333,0.96980019960071,0.012497078021325948,0.01770272237796398,0.0,162,32.4,182,131
25,centralized,naive,2,58,11.6,86.29118573457878,211.67838883721055,113.8100595658273,200.10124530040608,24.85333333333333,0.9664386970993875,0.010796314719494784,0.022764988181117784,0.0,140,28.0,161,111
25,centralized,naive,3,56,11.2,83.11734109933049,222.94493849003646,117.74283412197553,200.860175221306,24.886666666666667,0.9752504187255157,0.010179425222353607,0.01457015605213088,0.0,133,26.6,157,108
25,centralized,naive,4,46,9.2,63.028200674873624,233.24410253268496,123.34384176077545,186.3720424356491,24.9,0.970914854070141,0.009523392708652456,0.019561753221206523,0.0,121,24.2,148,118
25,centralized,naive,5,47,9.4,51.28086563684761,218.54795915778968,126.07663948352584,177.35750512037345,24.876666666666665,0.9632524105375393,0.009972605580856747,0.026774983881603907,0.0,123,24.6,156,105
25,centralized,naive,6,36,7.2,44.33843389082046,162.37051246957157,122.32603177045308,166.66446566127354,24.883333333333333,0.969475360948988,0.008990796403681438,0.021533842647330527,0.0,120,24.0,143,110
25,centralized,naive,7,43,8.6,68.35432073331232,236.53970294781243,113.26210676055858,181.6164274938709,24.89666666666667,0.9617116041642838,0.009651436054751264,0.028636959780964876,0.0,126,25.2,152,112
